Date,USDX_Close
4/27/15,96.769997
4/28/15,96.089996
4/29/15,95.120003
4/30/15,94.599998
5/1/15,95.300003
5/3/15,null
5/4/15,95.480003
5/5/15,95.129997
5/6/15,94.129997
5/7/15,94.620003
5/8/15,94.790001
5/10/15,null
5/11/15,95.010002
5/12/15,94.529999
5/13/15,93.620003
5/14/15,93.360001
5/15/15,93.139999
5/17/15,null
5/18/15,94.190002
5/19/15,95.269997
5/20/15,95.449997
5/21/15,95.260002
5/22/15,96.010002
5/24/15,null
5/26/15,97.300003
5/27/15,97.370003
5/28/15,96.970001
5/29/15,96.910004
5/31/15,null
6/1/15,97.389999
6/2/15,95.839996
6/3/15,95.470001
6/4/15,95.459999
6/5/15,96.309998
6/7/15,null
6/8/15,95.300003
6/9/15,95.169998
6/10/15,94.650002
6/11/15,94.980003
6/12/15,94.970001
6/14/15,null
6/15/15,94.809998
6/16/15,95
6/17/15,94.300003
6/18/15,94.040001
6/19/15,94.089996
6/21/15,null
6/22/15,94.330002
6/23/15,95.43
6/24/15,95.260002
6/25/15,95.190002
6/26/15,95.470001
6/28/15,null
6/29/15,94.790001
6/30/15,95.489998
7/1/15,96.309998
7/2/15,96.110001
7/5/15,null
7/6/15,96.300003
7/7/15,96.870003
7/8/15,96.290001
7/9/15,96.610001
7/10/15,96.029999
7/12/15,null
7/13/15,96.860001
7/14/15,96.639999
7/15/15,97.129997
7/16/15,97.660004
7/17/15,97.860001
7/19/15,null
7/20/15,98.029999
7/21/15,97.330002
7/22/15,97.599998
7/23/15,97.120003
7/24/15,97.239998
7/26/15,null
7/27/15,96.5
7/28/15,96.769997
7/29/15,96.980003
7/30/15,97.559998
7/31/15,97.370003
8/2/15,null
8/3/15,97.489998
8/4/15,97.93
8/5/15,97.959999
8/6/15,97.830002
8/7/15,97.559998
8/9/15,null
8/10/15,97.160004
8/11/15,97.290001
8/12/15,96.260002
8/13/15,96.449997
8/14/15,96.57
8/16/15,null
8/17/15,96.82
8/18/15,96.970001
8/19/15,96.459999
8/20/15,95.75
8/21/15,94.830002
8/23/15,null
8/24/15,93.309998
8/25/15,94.529999
8/26/15,95.099998
8/27/15,95.610001
8/28/15,96.110001
8/30/15,null
8/31/15,95.949997
9/1/15,95.449997
9/2/15,95.830002
9/3/15,96.410004
9/4/15,96.230003
9/6/15,null
9/8/15,95.879997
9/9/15,96.010002
