date,mktrf,smb,hml,umd
20171127,-0.000600,-0.003700,0.000200,0.002000
20171128,0.010600,0.003900,0.008800,-0.004500
20171129,0.000200,0.000300,0.014600,-0.022800
20171130,0.008200,-0.005600,-0.005300,0.004600
20171201,-0.002200,-0.003600,0.004000,-0.005000
20171204,-0.001000,-0.003600,0.012700,-0.019100
20171205,-0.004300,-0.004400,-0.002300,0.009300
20171206,-0.000900,-0.004700,-0.005200,0.008700
20171207,0.004200,0.002600,-0.001700,0.006800
20171208,0.005100,-0.004500,-0.001100,-0.004900
20171211,0.002600,-0.004100,-0.001500,-0.003200
20171212,0.000700,-0.005500,0.005200,-0.006000
20171213,0.000200,0.007200,-0.008900,0.005900
20171214,-0.004700,-0.006900,-0.001900,0.004900
20171215,0.009200,0.006800,0.000400,0.003300
20171218,0.006700,0.007300,0.002700,-0.001600
20171219,-0.003000,-0.003700,-0.002500,-0.000700
20171220,0.000100,0.003500,0.000700,-0.002800
20171221,0.002400,0.002700,0.006300,-0.007900
20171222,-0.000700,-0.002200,-0.002000,0.001100
20171226,-0.000700,0.003400,-0.000600,-0.004300
20171227,0.000500,-0.001300,-0.002000,0.005900
20171228,0.002200,0.001200,0.000400,-0.000800
20171229,-0.005700,-0.003000,0.000200,-0.002100
20180102,0.008500,0.003400,-0.002300,-0.007000
20180103,0.005900,-0.003900,-0.002100,0.001700
20180104,0.004200,-0.002600,0.002400,-0.003000
20180105,0.006600,-0.003500,-0.002600,0.006200
20180108,0.001900,-0.001600,0.000600,0.001400
20180109,0.001500,-0.003400,-0.000300,0.004700
20180110,-0.000700,0.000700,0.006200,-0.002300
20180111,0.008700,0.011300,0.003200,-0.003300
20180112,0.006600,-0.003000,0.001700,0.000300
20180116,-0.004900,-0.010300,-0.000100,-0.001800
20180117,0.009500,-0.000400,-0.001200,0.010100
20180118,-0.001800,-0.005000,-0.002300,0.004200
20180119,0.005700,0.009400,-0.000600,0.005700
20180122,0.007700,-0.003300,-0.001400,-0.004000
20180123,0.002200,0.001500,-0.003600,0.000200
20180124,-0.001300,-0.008100,0.004200,-0.001500
20180125,0.000700,0.001800,-0.004800,0.006100
20180126,0.011100,-0.006400,-0.005300,0.005900
20180129,-0.006200,-0.000100,-0.002300,-0.001000
20180130,-0.010600,0.001400,-0.002200,0.003500
20180131,-0.000700,-0.007500,0.000900,0.003200
20180201,0.000300,0.000900,0.005500,-0.002200
20180202,-0.021300,0.000500,-0.002800,0.001500
20180205,-0.040300,0.007700,-0.005400,-0.001800
20180206,0.016700,-0.005100,-0.002100,0.007500
20180207,-0.003700,0.005100,0.002200,0.001900
20180208,-0.036800,0.008300,0.005000,-0.011400
20180209,0.013600,-0.006100,0.001300,0.006400
20180212,0.013600,-0.004500,-0.002700,0.005200
20180213,0.003100,0.000600,-0.002400,0.006500
20180214,0.015200,0.002600,0.004800,0.001600
20180215,0.012100,-0.001300,-0.006600,0.003500
20180216,0.000300,0.003500,0.001500,-0.001600
20180220,-0.006200,-0.003600,-0.002300,0.003400
20180221,-0.004300,0.007700,0.002100,0.007900
20180222,0.000100,0.000600,-0.004100,0.001600
20180223,0.015400,-0.003600,-0.001200,0.000800
20180226,0.011200,-0.004900,-0.000700,0.001100
20180227,-0.012500,-0.002000,0.000200,0.002800
20180228,-0.011000,-0.004000,-0.003000,0.005600
20180301,-0.011800,0.010100,-0.000100,-0.008000
20180302,0.007000,0.011500,-0.004700,-0.001600
20180305,0.010600,-0.003800,0.002300,-0.004600
20180306,0.003600,0.006700,0.000900,0.003700
20180307,0.000500,0.008000,-0.004500,0.008000
20180308,0.003700,-0.004700,-0.003500,-0.001200
20180309,0.017000,-0.002600,0.002600,0.006000
20180312,-0.000900,0.004600,-0.000600,-0.005200
20180313,-0.006700,0.000900,0.000000,-0.001100
20180314,-0.005300,0.002400,-0.005500,0.003300
20180315,-0.001800,-0.004100,0.003100,0.003200
20180316,0.002500,0.004700,0.001800,-0.004700
20180319,-0.013800,0.003400,0.004300,0.004600
20180320,0.001500,-0.000600,-0.003800,0.013900
20180321,-0.000600,0.007500,0.004600,-0.003400
20180322,-0.025400,0.005100,-0.004800,-0.009500
20180323,-0.020900,0.002200,-0.002000,-0.003600
20180326,0.026700,-0.007000,0.000100,0.013200
20180327,-0.018700,-0.002300,0.003600,-0.017700
20180328,-0.003500,0.001300,0.006600,-0.011400
20180329,0.014100,-0.003000,-0.002000,0.006000
20180402,-0.022900,-0.001500,0.003700,-0.000800
20180403,0.012400,-0.000500,0.001800,-0.001400
20180404,0.011700,0.003200,-0.003100,0.001300
20180405,0.007500,0.000300,0.004600,-0.003900
20180406,-0.021900,0.004100,-0.000400,-0.005500
20180409,0.003000,-0.001600,-0.005100,0.005800
20180410,0.017700,0.003900,-0.001300,0.003800
20180411,-0.004900,0.009200,-0.003100,-0.005500
20180412,0.008400,-0.002300,0.001800,0.012400
20180413,-0.003700,0.000300,-0.002700,-0.007900
20180416,0.008200,0.000700,-0.000300,0.000000
20180417,0.010900,0.001700,-0.011900,0.010600
20180418,0.001300,0.002400,0.000400,0.000200
20180419,-0.004900,-0.004800,0.010800,0.006900
20180420,-0.008100,0.000600,0.005700,0.000300
20180423,-0.000500,-0.000700,0.002100,-0.003600
20180424,-0.013000,0.005200,0.010000,-0.010800
20180425,0.001000,-0.003400,0.000500,-0.005700
20180426,0.009600,-0.003800,-0.008700,0.009300
20180427,0.000100,-0.002700,0.000400,0.003100
20180430,-0.008000,0.000500,-0.000900,0.002800
20180501,0.002400,0.002300,-0.005600,0.003600
20180502,-0.006300,0.012800,-0.003300,0.004000
20180503,-0.002500,-0.005000,-0.001600,0.008500
20180504,0.013000,0.000200,-0.002000,-0.004300
20180507,0.004200,0.004200,-0.003600,0.002700
20180508,0.000700,0.004800,0.002700,0.004400
20180509,0.008900,-0.002000,0.002800,0.002900
20180510,0.008400,-0.004400,-0.000700,-0.002000
20180511,0.001900,0.001100,-0.003600,0.001700
20180514,0.000500,-0.003500,0.001100,-0.003800
20180515,-0.005500,0.006800,0.004300,-0.000600
20180516,0.004900,0.007000,-0.002400,-0.000300
20180517,0.000200,0.009000,0.002600,0.001900
20180518,-0.002300,0.005800,-0.006200,0.006200
20180521,0.007200,-0.002100,0.004200,0.002600
20180522,-0.004200,-0.007600,0.006100,-0.002100
20180523,0.002900,0.000500,-0.007000,0.004400
20180524,-0.001600,0.003600,-0.003400,0.001300
20180525,-0.002100,0.002200,-0.004100,-0.005500
20180529,-0.010300,0.013400,-0.009900,-0.000700
20180530,0.013100,0.000500,0.003700,0.002500
20180531,-0.007000,0.000700,-0.004100,0.003700
